"Datum","Transaktionsstatus","Transaktionstyp","Transaktionsnummer","Produktdetails","Artikelpreise gesamt","Gesamtsumme der Aktionsrabatte","Amazon-Gebühren","Andere","Summe (EUR)"
"12.1.2023","Veröffentlicht","Commingling VAT","1410237903","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-6.15","-6.15"
"12.1.2023","Veröffentlicht","Commingling VAT","1410237903","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","5.09","5.09"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-4608144-6942755","Holzspiralbohrer-Bits lang HSS-G; AØ 6,5...","14.76","0","-3.67","13.45","24.54"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-0658739-5449105","Bildhauerklüpfel konisch Weißbuche 90mm","21.63","0","-3.35","4.11","22.39"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-8386081-9901902","FAMAG Bormax 2.0 WS-Forstnerbohrer 33x57...","42.13","0","-6.52","8.01","43.62"
"12.1.2023","Veröffentlicht","Commingling VAT","1410236293","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","-6.15","-6.15"
"12.1.2023","Veröffentlicht","Commingling VAT","1410236293","Tajima Schlagschnurgerät Chalk-Rite Dura (Schlagschnur 30 m lang, mit Schnellkurbelsystem, für alle Untergründe, Schlagschnur geflochten) CR401SD","0","0","0","5.62","5.62"
"12.1.2023","Veröffentlicht","Commingling VAT","1410228453","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","-3.02","-3.02"
"12.1.2023","Veröffentlicht","Commingling VAT","1410228453","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","3.02","3.02"
"12.1.2023","Veröffentlicht","Commingling VAT","1410227283","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","-3.02","-3.02"
"12.1.2023","Veröffentlicht","Commingling VAT","1410227283","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","2.5","2.5"
"12.1.2023","Veröffentlicht","Commingling VAT","1410224803","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","-3.02","-3.02"
"12.1.2023","Veröffentlicht","Commingling VAT","1410224803","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","2.5","2.5"
"12.1.2023","Veröffentlicht","Commingling VAT","1410219043","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","-2.5","-2.5"
"12.1.2023","Veröffentlicht","Commingling VAT","1410219043","DEWALT DT40251-QZ Extreme Metal 115X22.23X1.3mm","0","0","0","3.02","3.02"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-1313783-2840360","Olfa LBB Cuttermesser-Klingen, Schwarz, ...","27.74","0","-9.04","5.26","23.96"
"12.1.2023","Veröffentlicht","Erstattung","306-9468617-3502748","Silky Katanaboy Klappsäge 650,Das längst...","-198.92","0","25.77","-37.8","-210.95"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-6773415-0897939","Fermit Ofenschwärze 11500 100 ml Tube, S...","6.74","0","-3.3","1.28","4.72"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-4652642-5824353","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-2911768-5750702","Protus Kurvenlinfix - das flexible Kurve...","38.36","0","-9.15","7.29","36.5"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-5896450-4546764","FAMAG Bohrständer starr für Schlangenboh...","184.41","0","-28.53","35.04","190.92"
"12.1.2023","Verzögert","Bezahlung der Bestellung","028-1725038-7547555","Leinos 240 Hartöl für Innen 002 Farblos ...","14.04","0","-6.28","2.67","10.43"
